Irish,English
Peil Ghaelach,Gaelic football
Iomáint,Hurling
Camógaíocht,Camogie
Peil,Football
Rugbaí,Rugby
Dornálaíocht,Boxing
Snámh,Swimming
Cispheil,Basketball
Galf,Golf
Leadóg,Tennis
Rothlóireacht,Cycling
Lúthchleasaíocht,Athletics
Eitpheil,Volleyball
Ródaíocht,Rowing
Rásaíocht chapall,Horse racing
Gaelic Handball,Liathróid Láimhe
Cluiche corr,Rounders
Haca,Hockey
Scuais,Squash
Seoltóireacht,Sailing
Cairtchlós,Karting
Sciáil,Skiing
Fichille,Chess
Fálú,Fencing
Judo,Júdó
Taekwondo,Taekwondo
Clárscátáil,Skateboarding
Marcaíocht,Equestrian
Badmantan,Badminton
Jailt,Jai alai
Seacléar,Snooker
Trí-atlan,Triathlon
Cricéad,Cricket
Baseball,Baseball
Boghdóireacht,Archery
Corpoideachas,Gymnastics
Lámhach,Shooting
Billiards,Billiards
Lacrosse,Lacrosse
Wrestling,Wrestling
